sep=,
AUDITION LINK,EDIT ID,WORK TITLE,ALBUM,ALBUM ID,TRACK ID,YEAR OF RELEASE,COMPOSERS,PUBLISHERS,LABEL NAME,GERMAN LABEL CODE,ISRC
https://stream.music.cdn.unippm.com/MAT/MAT246/Views_From_A_Train/MAT_246_6_Views_From_A_Train_Engstrom_Oldaeus_661851.mp3?response-content-type=audio/mpeg,661851,Views From A Train,European Cinema,MAT246,MAT246-6,2012,Hans Engstrom [PRS] 50%/Jan Oldaeus [PRS] 50%,Primetime Productions Ltd [PRS] 100%,Match Music,LC 08318,GB-8N6-12-24606
https://stream.music.cdn.unippm.com/MAT/MAT246/Views_From_A_Train/MAT_246_43_Views_From_A_Train_Engstrom_Oldaeus_661852.mp3?response-content-type=audio/mpeg,661852,Views From A Train,European Cinema,MAT246,MAT246-43,2012,Hans Engstrom [PRS] 50%/Jan Oldaeus [PRS] 50%,Primetime Productions Ltd [PRS] 100%,Match Music,LC 08318,GB-8N6-12-24643
https://stream.music.cdn.unippm.com/MAT/MAT246/Views_From_A_Train/MAT_246_31_Views_From_A_Train_Engstrom_Oldaeus_661853.mp3?response-content-type=audio/mpeg,661853,Views From A Train,European Cinema,MAT246,MAT246-31,2012,Hans Engstrom [PRS] 50%/Jan Oldaeus [PRS] 50%,Primetime Productions Ltd [PRS] 100%,Match Music,LC 08318,GB-8N6-12-24631
