sep=,
AUDITION LINK,EDIT ID,WORK TITLE,ALBUM,ALBUM ID,TRACK ID,YEAR OF RELEASE,COMPOSERS,PUBLISHERS,LABEL NAME,GERMAN LABEL CODE,ISRC
https://stream.music.cdn.unippm.com/CHAP/CHAP187/Calling_All_Workers/CHAP_187_2_Calling_All_Workers_Coates_146508.mp3?response-content-type=audio/mpeg,146508,Calling All Workers,Archive - Nostalgic Themes Revisited,CHAP187,CHAP187-2,1995,Eric Coates [PRS] 100%,Chappell Recorded Music Library Ltd [PRS] 100%,Chappell,LC 08903,GB-AZC-95-18702
https://stream.music.cdn.unippm.com/CHAP/CHAP187/Calling_All_Workers/CHAP_187_18_Calling_All_Workers_Coates_146509.mp3?response-content-type=audio/mpeg,146509,Calling All Workers,Archive - Nostalgic Themes Revisited,CHAP187,CHAP187-18,1995,Eric Coates [PRS] 100%,Chappell Recorded Music Library Ltd [PRS] 100%,Chappell,LC 08903,GB-AZC-95-18718
https://stream.music.cdn.unippm.com/CHAP/CHAP187/Calling_All_Workers/CHAP_187_34_Calling_All_Workers_Coates_146510.mp3?response-content-type=audio/mpeg,146510,Calling All Workers,Archive - Nostalgic Themes Revisited,CHAP187,CHAP187-34,1995,Eric Coates [PRS] 100%,Chappell Recorded Music Library Ltd [PRS] 100%,Chappell,LC 08903,GB-AZC-95-18734
https://stream.music.cdn.unippm.com/CHAP/CHAP394/Calling_All_Workers/CHAP_394_1_Calling_All_Workers_Coates_669522.mp3?response-content-type=audio/mpeg,669522,Calling All Workers,Proud To Be British,CHAP394,CHAP394-1,2012,Eric Coates [PRS] 100%,Chappell Recorded Music Library Ltd [PRS] 100%,Chappell,LC 08903,GB-AZC-12-39401
